,,,,,,,,,
,,,,,,,,,
水产类,,,,,,,,,
海参,4.2,海蜇皮,9.3,桂鱼,24.0,金枪鱼,60.0,,
鱼丸,63.2,鲑鱼,70.0,鲈鱼,70.0,鲨鱼皮,73.2,,
螃蟹,81.6,乌贼,89.8,鳝鱼,92.8,鳕鱼,109.0,,
旗鱼,109.8,鱼翅,110.6,鲍鱼,112.4,鳗鱼,113.1,,
蚬子,114.0,大比目鱼,125.0,刀鱼,134.9,鲫鱼,137.1,,
鲤鱼,137.1,虾,137.7,草鱼,140.3,黑鲳鱼,140.3,,
红鲋,140.3,黑鳝,140.6,吞拿鱼,142.0,鱼子酱,144.0,,
海鳗,159.5,草虾,162.0,鲨鱼,166.8,虱目鱼,180.0,,
乌鱼,183.2,鲭鱼,194.0,吴郭鱼,199.4,四破鱼,217.5,,
鱿鱼,226.2,鲳鱼,238.0,白鲳鱼,238.1,牡蛎,239.0,,
生蚝,239.0,鲺鱼泥,247.3,三文鱼,250.0,吻仔鱼,284.2,,
蛙鱼,297.0,蛤蜊,316.0,沙丁鱼,345.0,秋刀鱼,355.4,,
皮刀鱼,355.4,凤尾鱼,363.0,扁鱼干,366.7,青鱼,378.0,,
鲱鱼,378.0,干贝,390.0,白带鱼,391.6,带鱼,391.6,,
蚌蛤,436.3,熏鲱鱼,840.0,小鱼干,1538.9,白带鱼皮,3509.0,,
